,date,births,deaths
0,1841-01-01,254,37
1,1841-02-01,239,18
2,1841-03-01,277,12
3,1841-04-01,255,4
4,1841-05-01,255,2
5,1841-06-01,200,10
6,1841-07-01,190,16
7,1841-08-01,222,3
8,1841-09-01,213,4
9,1841-10-01,236,26
10,1841-11-01,235,53
11,1842-01-01,307,64
12,1842-02-01,311,38
13,1842-03-01,264,27
14,1842-04-01,242,26
15,1842-05-01,310,10
16,1842-06-01,273,18
17,1842-07-01,231,48
18,1842-08-01,216,55
19,1842-09-01,223,41
20,1842-10-01,242,71
21,1842-11-01,209,48
22,1842-12-01,239,75
23,1843-01-01,272,52
24,1843-02-01,263,42
25,1843-03-01,266,33
26,1843-04-01,285,34
27,1843-05-01,246,15
28,1843-06-01,196,8
29,1843-07-01,191,1
30,1843-08-01,193,3
31,1843-09-01,221,5
32,1843-10-01,250,44
33,1843-11-01,252,18
34,1843-12-01,236,19
35,1844-01-01,244,37
36,1844-02-01,257,29
37,1844-03-01,276,47
38,1844-04-01,208,36
39,1844-05-01,240,14
40,1844-06-01,224,6
41,1844-07-01,206,9
42,1844-08-01,269,17
43,1844-09-01,245,3
44,1844-10-01,248,8
45,1844-11-01,245,27
46,1844-12-01,256,27
47,1845-01-01,303,23
48,1845-02-01,274,13
49,1845-03-01,292,13
50,1845-04-01,260,11
51,1845-05-01,296,13
52,1845-06-01,280,20
53,1845-07-01,245,15
54,1845-08-01,251,9
55,1845-09-01,237,25
56,1845-10-01,283,42
57,1845-11-01,265,29
58,1845-12-01,267,28
59,1846-01-01,336,45
60,1846-02-01,293,53
61,1846-03-01,311,48
62,1846-04-01,253,48
63,1846-05-01,305,41
64,1846-06-01,266,27
65,1846-07-01,252,33
66,1846-08-01,216,39
67,1846-09-01,271,39
68,1846-10-01,254,38
69,1846-11-01,297,32
70,1846-12-01,298,16
71,1847-01-01,311,10
72,1847-02-01,312,6
73,1847-03-01,305,11
74,1847-04-01,312,57
75,1847-05-01,294,36
76,1847-06-01,268,6
77,1847-07-01,250,3
78,1847-08-01,264,5
79,1847-09-01,262,12
80,1847-10-01,278,11
81,1847-11-01,246,11
82,1847-12-01,273,8
83,1848-01-01,283,10
84,1848-02-01,291,2
85,1848-03-01,276,0
86,1848-04-01,305,2
87,1848-05-01,313,3
88,1848-06-01,264,3
89,1848-07-01,269,1
90,1848-08-01,261,0
91,1848-09-01,312,3
92,1848-10-01,299,7
93,1848-11-01,310,9
94,1848-12-01,373,5
95,1849-01-01,403,9
96,1849-02-01,389,12
97,1849-03-01,406,20
